# 2016-06-06 12:41:52.606402
#
# Simulation of heat flow through 1-dimensional rod
#
# Dimensions
#   dim x =           11
#   min x =           0.0
#   max x =           1.0
#
# Thermodynamical parameters
#   initial temp =    300.0
#   alpha =           1.0
#
# Boundary conditions:
#   method =          Dirichlet
#   x0 order =        1
#   x1 order =        1
#
# Finite differencing
#   num steps =       100000
#   time step =       0.01
#   method =          Implicit
#   write period =    1000
#
       0     1000.00000000
       1      816.46939912
       2      652.73010334
       3      522.18329172
       4      428.88060995
       5      368.85410123
       6      333.92074371
       7      315.42324082
       8      306.42137208
       9      302.23979987
      10      300.00000000
Step= 46000
       0     1000.00000000
       1      818.41710997
       2      656.00326334
       3      525.86797722
       4      432.18712449
       5      371.36078934
       6      335.57265141
       7      316.38397017
       8      306.91232800
       9      302.43865174
      10      300.00000000
Step= 47000
       0     1000.00000000
       1      820.30420926
       2      659.18707029
       3      529.47490110
       4      435.45148267
       5      373.86126261
       6      337.24012672
       7      317.36633225
       8      307.42084254
       9      302.64678084
      10      300.00000000
Step= 48000
       0     1000.00000000
       1      822.13377041
       2      662.28543652
       3      533.00642779
       4      438.67376199
       5      376.35416831
       6      338.92163344
       7      318.36931551
       8      307.94648196
       9      302.86407677
      10      300.00000000
Step= 49000
       0     1000.00000000
       1      823.90865344
       2      665.30204443
       3      536.46484769
       4      441.85411982
       5      378.83827382
       6      340.61570555
       7      319.39191537
       8      308.48878877
       9      303.09040871
      10      300.00000000
Step= 50000
       0     1000.00000000
       1      825.63152359
       2      668.24036302
       3      539.85237721
       4      444.99278270
       5      381.31245790
       6      342.32094573
       7      320.43313727
       8      309.04728507
       9      303.32562712
      10      300.00000000
Step= 51000
       0     1000.00000000
       1      827.30486800
       2      671.10366300
       3      543.17115942
       4      448.09003680
       5      383.77570243
       6      344.03602366
       7      321.49199930
       8      309.62147566
       9      303.56956540
      10      300.00000000
Step= 52000
       0     1000.00000000
       1      828.93101068
       2      673.89503075
       3      546.42326502
       4      451.14621950
       5      386.22708475
       6      345.75967408
       7      322.56753444
       8      310.21085095
       9      303.82204158
      10      300.00000000
Step= 53000
       0     1000.00000000
       1      830.51212596
       2      676.61738104
       3      549.61069364
       4      454.16171190
       5      388.66577041
       6      347.49069479
       7      323.65879250
       8      310.81488972
       9      304.08285992
      10      300.00000000
Step= 54000
       0     1000.00000000
       1      832.05025067
       2      679.27346879
       3      552.73537536
       4      457.13693225
       5      391.09100643
       6      349.22794446
       7      324.76484177
       8      311.43306163
       9      304.35181249
      10      300.00000000
Step= 55000
       0     1000.00000000
       1      833.54729505
       2      681.86589990
       3      555.79917246
       4      460.07233003
       5      393.50211507
       6      350.97034046
       7      325.88477034
       8      312.06482959
       9      304.62868065
      10      300.00000000
Step= 56000
       0     1000.00000000
       1      835.00505269
       2      684.39714118
       3      558.80388124
       4      462.96838078
       5      395.89848798
       6      352.71685659
       7      327.01768722
       8      312.70965193
       9      304.91323646
      10      300.00000000
Step= 57000
       0     1000.00000000
       1      836.42520948
       2      686.86952955
       3      561.75123395
       4      465.82558155
       5      398.27958075
       6      354.46652081
       7      328.16272327
       8      313.36698440
       9      305.20524410
      10      300.00000000
Step= 58000
       0     1000.00000000
       1      837.80935176
       2      689.28528047
       3      564.64290079
       4      468.64444679
       5      400.64490790
       6      356.21841302
       7      329.31903183
       8      314.03628198
       9      305.50446111
      10      300.00000000
Step= 59000
       0     1000.00000000
       1      839.15897377
       2      691.64649576
       3      567.48049193
       4      471.42550485
       5      402.99403821
       6      357.97166283
       7      330.48578934
       8      314.71700055
       9      305.81063960
      10      300.00000000
Step= 60000
       0     1000.00000000
       1      840.47548432
       2      693.95517086
       3      570.26555955
       4      474.16929479
       5      405.32659038
       6      359.72544734
       7      331.66219563
       8      315.40859840
       9      306.12352743
      10      300.00000000
Step= 61000
       0     1000.00000000
       1      841.76021300
       2      696.21320146
       3      572.99959983
       4      476.87636361
       5      407.64222904
       6      361.47898903
       7      332.84747424
       8      316.11053759
       9      306.44286920
      10      300.00000000
Step= 62000
       0     1000.00000000
       1      843.01441580
       2      698.42238972
       3      575.68405499
       4      479.54726382
       5      409.94066104
       6      363.23155366
       7      334.04087245
       8      316.82228516
       9      306.76840731
      10      300.00000000
Step= 63000
       0     1000.00000000
       1      844.23928019
       2      700.58444997
       3      578.32031528
       4      482.18255134
       5      412.22163201
       6      364.98244827
       7      335.24166141
       8      317.54331425
       9      307.09988280
      10      300.00000000
Step= 64000
       0     1000.00000000
       1      845.43592989
       2      702.70101404
       3      580.90972086
       4      484.78278358
       5      414.48492320
       6      366.73101918
       7      336.44913598
       8      318.27310506
       9      307.43703624
      10      300.00000000
Step= 65000
       0     1000.00000000
       1      846.60542915
       2      704.77363619
       3      583.45356373
       4      487.34851782
       5      416.73034857
       6      368.47665013
       7      337.66261460
       8      319.01114569
       9      307.77960847
      10      300.00000000
Step= 66000
       0     1000.00000000
       1      847.74878671
       2      706.80379771
       3      585.95308954
       4      489.88030983
       5      418.95775207
       6      370.21876044
       7      338.88143912
       8      319.75693291
       9      308.12734132
