# 2016-06-28 17:09:55.759964
#
# Simulation of heat flow through 1-dimensional rod
# 
# Dimensions
#   dim x =                     11
#   min x =                     0.0
#   max x =                     0.33
# 
# Thermodynamical parameters
#   initial temp =              300.0
#   k c =                       1.95
#   area =                      0.0003877733785771607
#   stop time =                 900.0
#   u amb =                     300.0
#   perim =                     0.0698061887627652
#   emiss =                     0.01
#   power cool =                -10.0
#   power heat =                10.0
#   c =                         380.0
#   rho =                       8730
#   k =                         125.0
# 
# Boundary conditions:
#   method =                    Simple heat-diffusion BC
#   x0 order =                  None
#   x1 order =                  None
# 
# Finite differencing
#   time step =                 0.5
#   method =                    Explicit for simple convection-diffusion equation
# 
Step= 0             Time=       0.0000
      10      303.35854796
Step= 1269          Time=     634.5000
       0      331.85102483
       1      325.92700648
       2      320.83584102
       3      316.53154688
       4      312.95878561
       5      310.05620385
       6      307.76040242
       7      306.01017271
       8      304.75064018
       9      303.93698682
      10      303.53747987
Step= 1296          Time=     648.0000
       0      332.20698189
       1      326.27593161
       2      321.17112169
       3      316.84773840
       4      313.25205652
       5      310.32463158
       6      308.00409970
       7      306.23124330
       8      304.95297805
       9      304.12594409
      10      303.71943468
Step= 1323          Time=     661.5000
       0      332.55910387
       1      326.62131181
       2      321.50341178
       3      317.16170538
       4      313.54401024
       5      310.59271092
       6      308.24839785
       7      306.45376970
       8      305.15746918
       9      304.31754605
      10      303.90428720
Step= 1350          Time=     675.0000
       0      332.90752980
       1      326.96327300
       2      321.83281256
       3      317.47351598
       4      313.83467721
       5      310.86043386
       6      308.49325314
       7      306.67767780
       8      305.36401596
       9      304.51167930
      10      304.09191610
Step= 1377          Time=     688.5000
       0      333.25239253
       1      327.30193567
       2      322.15942129
       3      317.78323612
       4      314.12408744
       5      311.12779359
       6      308.73862430
       7      306.90289671
       8      305.57252444
       9      304.70823422
      10      304.28220396
Step= 1404          Time=     702.0000
       0      333.59381905
       1      327.63741516
       2      322.48333137
       3      318.09092950
       4      314.41227042
       5      311.39478434
       6      308.98447229
       7      307.12935864
       8      305.78290422
       9      304.90710501
      10      304.47503718
Step= 1431          Time=     715.5000
       0      333.93193086
       1      327.96982199
       2      322.80463254
       3      318.39665766
       4      314.69925509
       5      311.66140120
       6      309.23076014
       7      307.35699869
       8      305.99506833
       9      305.10818954
      10      304.67030598
Step= 1458          Time=     729.0000
       0      334.26684428
       1      328.29926205
       2      323.12341099
       3      318.70048000
       4      314.98506974
       5      311.92764006
       6      309.47745282
       7      307.58575472
       8      306.20893310
       9      305.31138928
      10      304.86790429
Step= 1485          Time=     742.5000
       0      334.59867065
       1      328.62583684
       2      323.43974954
       3      319.00245385
       4      315.26974199
       5      312.19349744
       6      309.72451705
       7      307.81556721
       8      306.42441805
       9      305.51660924
      10      305.06772974
Step= 1512          Time=     756.0000
       0      334.92751666
       1      328.94964370
       2      323.75372779
       3      319.30263450
       4      315.55329876
       5      312.45897045
       6      309.97192122
       7      308.04637916
       8      306.64144578
       9      305.72375784
      10      305.26968353
Step= 1539          Time=     769.5000
       0      335.25348456
       1      329.27077598
       2      324.06542220
       3      319.60107530
       4      315.83576625
       5      312.72405667
       6      310.21963524
       7      308.27813590
       8      306.85994183
       9      305.93274684
      10      305.47367035
Step= 1566          Time=     783.0000
       0      335.57667236
       1      329.58932326
       2      324.37490629
       3      319.89782766
       4      316.11716993
       5      312.98875409
       6      310.46763049
       7      308.51078505
       8      307.07983464
       9      306.14349124
      10      305.67959833
Step= 1593          Time=     796.5000
       0      335.89717407
       1      329.90537149
       2      324.68225068
       3      320.19294113
       4      316.39753451
       5      313.25306110
       6      310.71587967
       7      308.74427638
       8      307.30105536
       9      306.35590915
      10      305.88737891
Step= 1620          Time=     810.0000
       0      336.21507986
       1      330.21900321
       2      324.98752330
       3      320.48646349
       4      316.67688397
       5      313.51697635
       6      310.96435677
       7      308.97856171
       8      307.52353782
       9      306.56992175
      10      306.09692675
Step= 1647          Time=     823.5000
       0      336.53047626
       1      330.53029761
       2      325.29078940
       3      320.77844075
       4      316.95524155
       5      313.78049878
       6      311.21303695
       7      309.21359484
       8      307.74721838
       9      306.78545316
      10      306.30815968
Step= 1674          Time=     837.0000
       0      336.84344630
       1      330.83933077
       2      325.59211173
       3      321.06891724
       4      317.23262974
       5      314.04362757
       6      311.46189649
       7      309.44933141
       8      307.97203588
       9      307.00243033
      10      306.52099854
Step= 1701          Time=     850.5000
       0      337.15406970
